model,mfg,capacity_tb,drive_count,avg_age_months,drive_days,failures,afr_pct,source
MG08ACA16TA,Toshiba,16,39442,,14623715,362,0.90,Backblaze 2025
MG07ACA14TA,Toshiba,14,37213,,13654728,432,1.15,Backblaze 2025
WUH722222ALE6L4,WDC,22,44265,,13612879,177,0.47,Backblaze 2025
ST16000NM001G,Seagate,16,34305,,12381689,182,0.54,Backblaze 2025
WUH721816ALE6L4,WDC,16,26650,,9671421,176,0.66,Backblaze 2025
ST12000NM0008,Seagate,12,18551,,6877112,486,2.58,Backblaze 2025
MG10ACA20TE,Toshiba,20,17999,,4909379,80,0.59,Backblaze 2025
ST8000NM0055,Seagate,8,13185,,4870236,291,2.18,Backblaze 2025
HUH721212ALE604,HGST,12,13095,,4853717,358,2.69,Backblaze 2025
ST12000NM001G,Seagate,12,13147,,4817914,127,0.96,Backblaze 2025
ST14000NM001G,Seagate,14,10464,,3849616,142,1.35,Backblaze 2025
HUH721212ALN604,HGST,12,9692,,3628418,393,3.95,Backblaze 2025
ST8000DM002,Seagate,8,8796,,3276650,156,1.74,Backblaze 2025
WUH721414ALE6L4,WDC,14,8630,,3141290,70,0.81,Backblaze 2025
MG08ACA16TE,Toshiba,16,6210,,2188375,79,1.32,Backblaze 2025
ST24000NM002H,Seagate,24,8328,,1941010,146,2.75,Backblaze 2025
MG08ACA16TEY,Toshiba,16,4861,,1843841,318,6.30,Backblaze 2025
WUH721816ALE6L0,WDC,16,2979,,1092886,59,1.97,Backblaze 2025
HUH721212ALE600,HGST,12,2606,,951081,17,0.65,Backblaze 2025
ST14000NM0138,Seagate,14,1251,,467111,68,5.31,Backblaze 2025
HUH728080ALE600,HGST,8,1021,,389340,38,3.56,Backblaze 2025
HMS5C4040BLE640,HGST,4,186,,375277,5,0.49,Backblaze 2025
MG11ACA24TE,Toshiba,24,4739,,374087,7,0.68,Backblaze 2025
ST10000NM0086,Seagate,10,978,,367460,57,5.66,Backblaze 2025
ST12000NM0007,Seagate,12,981,,366658,55,5.48,Backblaze 2025
ST12000NM000J,Seagate,12,1059,,347582,4,0.42,Backblaze 2025
MG07ACA14TEY,Toshiba,14,983,,324488,20,2.25,Backblaze 2025
ST16000NM002J,Seagate,16,465,,168586,1,0.22,Backblaze 2025
ST14000NM000J,Seagate,14,407,,117113,7,2.18,Backblaze 2025
WUH722626ALE6L4,WDC,26,1200,,91690,1,0.40,Backblaze 2025
ST8000NM000A,Seagate,8,245,,90082,0,0.00,Backblaze 2025
MG09ACA16TE,Toshiba,16,348,,63327,3,1.73,Backblaze 2025
ST16000NM000J,Seagate,16,111,,31498,2,2.32,Backblaze 2025
HUH728080ALE604,HGST,8,76,,28775,2,2.54,Backblaze 2025
ST14000NM0018,Seagate,14,61,,23071,3,4.75,Backblaze 2025
ST18000NM000J,Seagate,18,60,,21837,1,1.67,Backblaze 2025
